candidate_id,seed,channel,tier,demand_tercile,cell_population,promo_rate,mean_log_price_ratio,sd_log_price_ratio,overlap_eligible,overlap_pass,failure_reason
anchor,11,organic,basic,low,3049,0.21941620203345358,-0.05271074232549645,0.06979121746554262,True,True,
anchor,11,organic,basic,medium,3029,0.16077913502806207,-0.022270227617237362,0.06071101681053987,True,True,
anchor,11,organic,basic,high,2982,0.107981220657277,0.008877130263160216,0.05358857781017062,True,True,
anchor,11,organic,premium,low,2979,0.2406847935548842,-0.05491625010215697,0.07295080789063209,True,True,
anchor,11,organic,premium,medium,2955,0.16243654822335024,-0.02166194201663468,0.05994424986109968,True,True,
anchor,11,organic,premium,high,2965,0.11062394603709949,0.00815653586080005,0.054645884892638656,True,True,
anchor,11,affiliate,basic,low,2975,0.4121008403361345,-0.07636391723859055,0.08456814254170691,True,True,
anchor,11,affiliate,basic,medium,2974,0.2995965030262273,-0.03995880360116666,0.0755252194392621,True,True,
anchor,11,affiliate,basic,high,2954,0.21936357481381177,-0.005427426462641428,0.07102363596821702,True,True,
anchor,11,affiliate,premium,low,3032,0.40633245382585753,-0.07572900382549452,0.08442646537328417,True,True,
anchor,11,affiliate,premium,medium,3107,0.30286449951721917,-0.03956639892216682,0.07491239209229388,True,True,
anchor,11,affiliate,premium,high,3015,0.22056384742951907,-0.004360782570223225,0.06644917602224466,True,True,
anchor,11,paid_search,basic,low,2988,0.6151271753681392,-0.10203730219221313,0.08885047063998107,True,True,
anchor,11,paid_search,basic,medium,2994,0.5050100200400801,-0.06736017027462726,0.0880107579478523,True,True,
anchor,11,paid_search,basic,high,3015,0.3953565505804312,-0.027187398580340087,0.08265199693939282,True,True,
anchor,11,paid_search,premium,low,2989,0.616259618601539,-0.1016799302788135,0.08878631851939424,True,True,
anchor,11,paid_search,premium,medium,2947,0.506956226671191,-0.06544929309010458,0.08603611364517992,True,True,
anchor,11,paid_search,premium,high,3051,0.38511963290724355,-0.02639047901605304,0.08330370778420153,True,True,
anchor,22,organic,basic,low,3040,0.21875,-0.0462571778777619,0.06935521741517416,True,True,
anchor,22,organic,basic,medium,3021,0.15160542866600463,-0.01812644191036273,0.05809029063166263,True,True,
anchor,22,organic,basic,high,3039,0.11089174070417901,0.005649426938595766,0.054523929697685616,True,True,
anchor,22,organic,premium,low,3038,0.20803159973666885,-0.04377355416467511,0.06706744895217287,True,True,
anchor,22,organic,premium,medium,2960,0.1527027027027027,-0.018667738803343013,0.05927105180362838,True,True,
anchor,22,organic,premium,high,3041,0.09799408089444261,0.007645326963124098,0.05164498131868771,True,True,
anchor,22,affiliate,basic,low,3011,0.3865825307206908,-0.06520307973831174,0.080607996716592,True,True,
anchor,22,affiliate,basic,medium,2967,0.2965958881024604,-0.03825634311415346,0.07651909659016325,True,True,
anchor,22,affiliate,basic,high,2943,0.23479442745497792,-0.010407589657051363,0.07295920264767149,True,True,
anchor,22,affiliate,premium,low,2939,0.3889077917659068,-0.06723488470381833,0.08299289046332375,True,True,
anchor,22,affiliate,premium,medium,3019,0.31069890692282215,-0.03947734987724106,0.07822345966820937,True,True,
anchor,22,affiliate,premium,high,2986,0.22337575351640993,-0.008939358657102837,0.07171872859507503,True,True,
anchor,22,paid_search,basic,low,2961,0.585612968591692,-0.09397053247882728,0.0906166914365254,True,True,
anchor,22,paid_search,basic,medium,3039,0.502138861467588,-0.06325505955055571,0.08585582131538558,True,True,
anchor,22,paid_search,basic,high,2958,0.39486139283299526,-0.029495819517998675,0.08397899894793884,True,True,
anchor,22,paid_search,premium,low,3044,0.5972404730617609,-0.0940907190692142,0.08986777151161092,True,True,
anchor,22,paid_search,premium,medium,3005,0.5008319467554077,-0.06407751481337852,0.08763365571482794,True,True,
anchor,22,paid_search,premium,high,2989,0.41853462696554034,-0.03221006242683598,0.08467070950091507,True,True,
anchor,33,organic,basic,low,2958,0.21230561189993238,-0.04787908427921331,0.06930093750908357,True,True,
anchor,33,organic,basic,medium,3033,0.1552917903066271,-0.01695718556583987,0.057770954177688336,True,True,
anchor,33,organic,basic,high,2952,0.10331978319783197,0.010061292732071367,0.053022024595850016,True,True,
anchor,33,organic,premium,low,2991,0.22567703109327983,-0.04971684062475232,0.06972076654147429,True,True,
anchor,33,organic,premium,medium,2989,0.16293074606891936,-0.018498999581508108,0.060921134108454116,True,True,
anchor,33,organic,premium,high,3138,0.1064372211599745,0.01041535035917507,0.05191244334754275,True,True,
anchor,33,affiliate,basic,low,3067,0.40267362243234434,-0.0731164310422172,0.08504041975214416,True,True,
anchor,33,affiliate,basic,medium,2903,0.2928005511539786,-0.03526246986073741,0.07595781277216096,True,True,
anchor,33,affiliate,basic,high,2987,0.21928356210244393,-0.004235091160946919,0.07063272400042682,True,True,
anchor,33,affiliate,premium,low,2954,0.3811780636425186,-0.06912955509663916,0.08263350156556983,True,True,
anchor,33,affiliate,premium,medium,3087,0.29186912860382247,-0.03521958758128212,0.07504463369038164,True,True,
anchor,33,affiliate,premium,high,2950,0.2030508474576271,-0.0017612489070620045,0.06752337220813538,True,True,
anchor,33,paid_search,basic,low,3029,0.5939253879168043,-0.09625709640094618,0.08983689229123114,True,True,
anchor,33,paid_search,basic,medium,3005,0.4978369384359401,-0.061112421544246176,0.08649325823979488,True,True,
anchor,33,paid_search,basic,high,2971,0.38943116795691685,-0.027268457373630987,0.08547654830166375,True,True,
anchor,33,paid_search,premium,low,3057,0.5878312070657508,-0.09444132693647325,0.08958831602630146,True,True,
anchor,33,paid_search,premium,medium,2967,0.4691607684529828,-0.05888441545149906,0.08670213692601157,True,True,
anchor,33,paid_search,premium,high,2962,0.3828494260634706,-0.024859863816507267,0.08351511920823332,True,True,
measured_weaker,11,organic,basic,low,3049,0.20465726467694326,-0.05019440051983189,0.06724679126153149,True,True,
measured_weaker,11,organic,basic,medium,3029,0.16143941895014857,-0.021685119202377277,0.05930701879676629,True,True,
measured_weaker,11,organic,basic,high,2982,0.11502347417840375,0.008589717131157283,0.053294604456394334,True,True,
measured_weaker,11,organic,premium,low,2979,0.220879489761665,-0.051289534909568994,0.06849638080545309,True,True,
measured_weaker,11,organic,premium,medium,2955,0.16074450084602368,-0.021995979112160426,0.06034132785352268,True,True,
measured_weaker,11,organic,premium,high,2965,0.1193929173693086,0.007701527934026606,0.05423180792871412,True,True,
measured_weaker,11,affiliate,basic,low,2975,0.3845378151260504,-0.07346316490524002,0.08374271933878341,True,True,
measured_weaker,11,affiliate,basic,medium,2974,0.3012777404169469,-0.040223595158505154,0.07539865020111873,True,True,
measured_weaker,11,affiliate,basic,high,2954,0.23324306025727826,-0.00571252521440445,0.06988771820020998,True,True,
measured_weaker,11,affiliate,premium,low,3032,0.38159630606860157,-0.07256302620705603,0.0830378648005606,True,True,
measured_weaker,11,affiliate,premium,medium,3107,0.3047956227872546,-0.040765455156034476,0.07626879802159796,True,True,
measured_weaker,11,affiliate,premium,high,3015,0.2427860696517413,-0.008283955881674201,0.07091097675302303,True,True,
measured_weaker,11,paid_search,basic,low,2988,0.5933734939759037,-0.10175055652655647,0.09087015411761908,True,True,
measured_weaker,11,paid_search,basic,medium,2994,0.5070140280561122,-0.06542113050324033,0.08627828165460934,True,True,
measured_weaker,11,paid_search,basic,high,3015,0.417910447761194,-0.03194542707199742,0.08544529769578067,True,True,
measured_weaker,11,paid_search,premium,low,2989,0.5911676145868183,-0.10037862840927105,0.0901296760544341,True,True,
measured_weaker,11,paid_search,premium,medium,2947,0.505259586019681,-0.0645295058371388,0.08494822121569447,True,True,
measured_weaker,11,paid_search,premium,high,3051,0.4038020321206162,-0.02757913573732606,0.08372732405559186,True,True,
measured_weaker,22,organic,basic,low,3040,0.2019736842105263,-0.043776347645543744,0.06672491524712335,True,True,
measured_weaker,22,organic,basic,medium,3021,0.1509433962264151,-0.017692359605512405,0.056933462316664164,True,True,
measured_weaker,22,organic,basic,high,3039,0.12339585389930899,0.0033338255096007447,0.058068318846426575,True,True,
measured_weaker,22,organic,premium,low,3038,0.19420671494404212,-0.042282021517570816,0.06529404972247871,True,True,
measured_weaker,22,organic,premium,medium,2960,0.15337837837837837,-0.019246439720742047,0.06011335960612379,True,True,
measured_weaker,22,organic,premium,high,3041,0.11147648799736928,0.0049707932863304145,0.056114182631600375,True,True,
measured_weaker,22,affiliate,basic,low,3011,0.3600132846230488,-0.0637716337592452,0.08136413915120647,True,True,
measured_weaker,22,affiliate,basic,medium,2967,0.29760701044826426,-0.03782790864967885,0.07609131979121155,True,True,
measured_weaker,22,affiliate,basic,high,2943,0.2524634726469589,-0.011874872608328427,0.07321060501533046,True,True,
measured_weaker,22,affiliate,premium,low,2939,0.3661109220823409,-0.06398681691599971,0.08161084050511719,True,True,
